,Unnamed: 0,Unnamed: 0.1,app_name,currency,price,rating_count_tot,user_rating,cont_rating,genre,supporteddevice
22,22,24,"Yahoo Sports - Teams, Scores, News & Highlights",USD,0.0,137951,4.0,4+,Sports,37
23,23,25,Mileage Log | Fahrtenbuch,USD,5.99,8,4.5,4+,Business,37
24,24,27,Cleartune - Chromatic Tuner,USD,3.99,3241,4.0,4+,Music,43
25,25,28,Lifesum – Inspiring healthy lifestyle app,USD,0.0,5795,3.5,4+,Health & Fitness,37
26,26,29,Hangman.,USD,0.0,42316,3.0,9+,Games,38
27,27,31,iTranslate - Language Translator & Dictionary,USD,0.0,123215,3.5,4+,Productivity,37
28,28,32,TouchOSC,USD,4.99,782,4.0,4+,Music,43
29,29,33,RadarScope,USD,9.99,3449,4.0,4+,Weather,37
30,30,34,LinkedIn,USD,0.0,71856,3.5,4+,Social Networking,37
31,31,35,Period Tracker Deluxe,USD,1.99,13350,4.5,12+,Health & Fitness,38
32,32,36,Election 2016 Map,USD,0.99,137,3.0,4+,Entertainment,37
33,33,37,Blackjack by MobilityWare,USD,0.0,180087,3.5,12+,Games,37
34,34,39,White Noise,USD,0.99,33426,4.0,4+,Health & Fitness,37
35,35,40,iHeartRadio – Free Music & Radio Stations,USD,0.0,293228,4.0,12+,Music,37
36,36,41,Line Rider iRide™,USD,1.99,21609,3.5,9+,Entertainment,40
37,37,42,Deliveries: a package tracker,USD,4.99,4684,4.0,4+,Utilities,37
38,38,43,Hurricane Pro,USD,2.99,2104,4.5,17+,Weather,37
39,39,47,Fieldrunners,USD,2.99,41633,4.0,9+,Games,37
40,40,48,Juxtaposer,USD,2.99,3610,4.5,4+,Photo & Video,37
41,41,49,Deezer - Listen to your Favorite Music & Playlists,USD,0.0,4677,3.0,12+,Music,37
42,42,50,iStellar,USD,3.99,30,3.5,4+,Navigation,37
43,43,51,Sonos Controller,USD,0.0,48905,4.5,4+,Music,37
44,44,52,Avertinoo,USD,4.99,32,3.0,4+,Navigation,38
45,45,53,Google Earth,USD,0.0,446185,3.5,4+,Travel,43
46,46,54,iFart - The Original Fart Sounds App,USD,1.99,21825,3.0,9+,Entertainment,37
47,47,55,PAC-MAN,USD,0.0,508808,3.0,4+,Games,38
48,48,57,FOX Sports Mobile,USD,0.0,57500,3.0,4+,Sports,37
49,49,58,First Words Animals,USD,1.99,2576,4.0,4+,Games,38
50,50,59,WeatherPro,USD,1.99,1572,4.0,4+,Weather,37
51,51,60,HotSchedules,USD,2.99,3292,3.0,4+,Business,37
52,52,61,Star Walk - Find Stars And Planets in Sky Above,USD,4.99,8932,4.5,4+,Education,37
53,53,62,"The Weather Channel: Forecast, Radar & Alerts",USD,0.0,495626,3.5,4+,Weather,37
54,54,63,Big Day - Event Countdown,USD,0.99,812,3.0,4+,Lifestyle,38
55,55,64,12 Steps AA Companion - Alcoholics Anonymous,USD,2.99,1583,3.5,12+,Lifestyle,37
56,56,65,OpenTable - Restaurant Reservations,USD,0.0,113936,4.5,4+,Food & Drink,37
57,57,66,VLC Remote,USD,4.99,2027,4.0,4+,Entertainment,37
58,58,67,gFlashPro - Flashcards & Tests,USD,3.99,768,4.0,4+,Education,37
59,59,68,Lose It! – Weight Loss Program and Calorie Counter,USD,0.0,373835,4.0,4+,Health & Fitness,37
60,60,69,Target,USD,0.0,108131,3.0,4+,Shopping,37
61,61,70,Fish Tycoon,USD,0.99,18943,3.5,4+,Games,47
62,62,71,"Amazon App: shop, scan, compare, and read reviews",USD,0.0,126312,3.5,4+,Shopping,37
63,63,72,Touchgrind,USD,4.99,35735,4.0,4+,Games,40
64,64,73,ProPresenter Remote,USD,4.99,410,3.0,4+,Utilities,37
65,65,74,iReal Pro - Music Book & Play Along,USD,12.99,1390,4.5,4+,Music,37
66,66,75,NRJ Radio,USD,0.0,38,3.5,4+,Music,37
67,67,76,Chase Mobile℠,USD,0.0,233270,4.5,4+,Finance,37
68,68,77,大辞林,USD,21.99,64,4.5,4+,Reference,37
69,69,79,Allrecipes Dinner Spinner,USD,0.0,109349,3.5,12+,Food & Drink,37
70,70,80,新浪新闻-阅读最新时事热门头条资讯视频,USD,0.0,2229,3.5,17+,News,37
71,71,81,MotionX GPS,USD,1.99,14970,3.5,4+,Navigation,37
72,72,82,AccuWeather - Weather for Life,USD,0.0,144214,3.5,4+,Weather,37
73,73,83,"Mint: Personal Finance, Budget, Bills & Money",USD,0.0,232940,4.0,4+,Finance,37
74,74,84,ABC News - US & World News + Live Video,USD,0.0,48407,3.0,12+,News,37
75,75,85,Rowmote: Remote Control for Mac,USD,0.99,5531,3.5,4+,Utilities,40
76,76,86,Peekaboo Barn,USD,1.99,3393,4.0,4+,Education,43
77,77,87,Speedtest by Ookla,USD,0.0,65016,3.5,4+,Utilities,38
78,78,89,Pocket God,USD,0.99,187529,4.0,9+,Entertainment,43
79,79,90,Nike+ Training Club - Workouts & Fitness Plans,USD,0.0,33969,3.5,4+,Health & Fitness,37
80,80,91,Citi Mobile®,USD,0.0,48822,3.5,4+,Finance,37
81,81,92,Phase 10 Pro - Play Your Friends!,USD,1.99,59155,4.5,4+,Games,40
82,82,93,"Kindle – Read eBooks, Magazines & Textbooks",USD,0.0,252076,3.5,4+,Book,37
83,83,95,MASH,USD,1.99,4913,4.0,9+,Games,37
84,84,96,同花顺-炒股、股票,USD,0.0,1744,3.5,4+,Finance,37
85,85,97,Wedding Dash Deluxe,USD,0.99,16567,4.5,4+,Games,43
86,86,99,Beer Pong Game,USD,0.0,187315,2.0,17+,Games,37
87,87,100,Tempo - Metronome with Setlists,USD,2.99,4781,4.5,4+,Music,37
88,88,101,Skat,USD,3.99,94,4.5,4+,Games,37
89,89,102,Color Splash,USD,0.99,29554,4.0,4+,Photo & Video,37
90,90,103,Zombieville USA,USD,0.99,32988,4.0,12+,Games,47
91,91,104,Skype for iPhone,USD,0.0,373519,3.5,4+,Social Networking,37
92,92,105,Tumblr,USD,0.0,334293,4.0,17+,Social Networking,37
93,93,106,iSwap Faces,USD,1.99,2302,3.5,4+,Photo & Video,37
94,94,107,Match™ - #1 Dating App.,USD,0.0,60659,3.0,17+,Social Networking,37
95,95,108,Tozzle - Toddler's favorite puzzle,USD,2.99,2562,4.0,4+,Games,37
96,96,109,HomeBudget with Sync,USD,4.99,3042,3.5,4+,Finance,37
97,97,110,Wind Meter,USD,0.99,338,2.5,4+,Weather,43
98,98,111,Map My Run+ - GPS Running & Workout Tracker,USD,2.99,16434,4.5,4+,Health & Fitness,37
99,99,112,Map My Ride+ - GPS Cycling & Route Tracker,USD,2.99,10046,4.5,4+,Health & Fitness,37
100,100,113,"HuffPost - News, Politics & Entertainment",USD,0.0,29107,3.0,12+,News,37
101,101,114,Phrase Party!,USD,1.99,878,4.0,17+,Games,38
102,102,115,Minesweeper Classic,USD,0.99,1140,3.5,4+,Games,37
103,103,116,Sally's Spa,USD,2.99,35074,4.5,4+,Games,43
104,104,117,"CBS Sports App - Sports Scores, News, Stats, Watch",USD,0.0,59639,3.0,17+,Sports,37
105,105,118,Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,USD,4.99,2913,4.0,4+,Health & Fitness,43
106,106,119,iSwap Faces LITE,USD,0.0,39722,3.0,4+,Photo & Video,37
107,107,120,DIRECTV,USD,0.0,81006,3.5,4+,Entertainment,37
108,108,121,NYTimes Crossword - Daily Word Puzzle Game,USD,0.0,53465,3.5,4+,Games,37
109,109,122,Doodle Jump,USD,0.99,395261,4.5,4+,Games,37
110,110,123,LEDit – The LED Banner App,USD,1.99,2021,4.5,4+,Utilities,37
111,111,124,niconico,USD,0.0,182,3.0,17+,Entertainment,37
112,112,125,Fandango Movies - Times + Tickets,USD,0.0,291787,4.0,4+,Entertainment,37
113,113,126,iCab Mobile (Web Browser),USD,1.99,2441,4.0,17+,Utilities,38
114,114,128,iRagdoll - Ragdoll Physics,USD,0.99,1372,4.0,12+,Games,37
115,115,129,Proloquo2Go - Symbol-based AAC,USD,249.99,773,4.0,4+,Education,37
116,116,130,Dictionary.com Dictionary & Thesaurus,USD,0.0,200047,4.0,4+,Reference,37
117,117,132,20 Minutes.fr - l'actualité en continu,USD,0.0,112,3.5,12+,News,37
118,118,133,The Masters Tournament,USD,0.0,148160,4.5,4+,Sports,37
119,119,134,myAT&T,USD,0.0,108507,3.0,4+,Utilities,37
120,120,135,SFR TV,USD,0.0,46,3.0,4+,Entertainment,37
121,121,136,"Shutterfly: Prints, Photo Books, Cards Made Easy",USD,0.0,51427,4.0,4+,Photo & Video,37
122,122,137,StickWars,USD,0.99,53821,3.5,12+,Games,43
123,123,138,Indeed Job Search,USD,0.0,38681,4.0,4+,Business,37
124,124,139,World Cup Table Tennis™,USD,0.99,17776,4.0,4+,Games,37
125,125,140,WhatsApp Messenger,USD,0.0,287589,4.5,4+,Social Networking,12
126,126,141,"iStudiez Pro – Homework, Schedule, Grades",USD,2.99,7308,4.0,4+,Productivity,37
127,127,142,Zillow Real Estate - Homes for Sale & for Rent,USD,0.0,342969,4.5,4+,Lifestyle,37
128,128,144,2XL Supercross,USD,4.99,6093,4.0,4+,Games,37
129,129,146,Pocket Tanks Deluxe,USD,4.99,5452,4.5,9+,Games,38
130,130,148,Wells Fargo Mobile,USD,0.0,43064,3.0,4+,Finance,37
131,131,150,radio.de - Der Radioplayer,USD,0.0,64,4.5,4+,Music,37
132,132,151,AutoScout24 - mobile used & new car market,USD,0.0,220,4.5,4+,Productivity,37
133,133,152,Sky Burger - Build & Match Food Free,USD,0.0,114096,4.5,4+,Games,37
134,134,153,MindNode – Delightful Mind Mapping,USD,9.99,1296,4.0,4+,Productivity,37
135,135,154,Packing Pro,USD,2.99,1293,4.0,4+,Travel,37
136,136,155,USAA Mobile,USD,0.0,19946,4.0,4+,Finance,37
137,137,156,The Moron Test,USD,0.0,88613,4.0,4+,Entertainment,37
138,138,157,Sunday Lawn,USD,0.99,107727,3.5,4+,Games,37
139,139,158,Peggle Classic,USD,0.99,21416,4.5,4+,Games,43
140,140,159,SmartGo Player,USD,2.99,533,4.0,4+,Games,37
141,141,160,I Am T-Pain 2.0,USD,2.99,32650,3.5,12+,Music,43
142,142,161,TextNow - Unlimited Text + Calls,USD,0.0,164963,3.5,4+,Social Networking,37
143,143,162,Boating Weather,USD,1.99,141,3.0,4+,Weather,40
144,144,163,Best Buy,USD,0.0,80424,4.0,4+,Shopping,37
145,145,164,I Dig It,USD,0.99,17190,4.0,4+,Games,40
146,146,165,Unblock Me,USD,0.99,7973,4.0,4+,Games,40
147,147,166,Sonic The Hedgehog,USD,2.99,19621,4.0,4+,Games,37
148,148,168,10 Pin Shuffle Pro Bowling,USD,3.99,7315,4.0,4+,Games,37
149,149,169,Sky News,USD,0.0,118,3.0,12+,News,37
150,150,171,"ESPN: Get scores, news, alerts & watch live sports",USD,0.0,290996,3.5,4+,Sports,37
151,151,172,LiveATC Air Radio,USD,3.99,2785,4.0,4+,Travel,37
152,152,173,The Sims 3,USD,6.99,54408,3.5,12+,Games,37
153,153,175,"Chess Pro with Coach - Learn,Play & Online Friends",USD,9.99,8138,4.0,4+,Games,37
154,154,176,Guess My Age  Math Magic,USD,0.0,123190,3.0,4+,Education,47
155,155,177,Crush the Castle,USD,0.99,23810,3.5,12+,Games,45
156,156,178,2016 U.S. Open Golf Championship,USD,0.0,54192,4.0,4+,Sports,37
157,157,179,"The Championships, Wimbledon 2016 - Tennis Grand Slam",USD,0.0,20953,4.0,4+,Sports,37
158,158,180,TuneIn Radio Pro - MLB Audiobooks Podcasts Music,USD,9.99,71609,4.5,12+,Music,37
159,159,181,NBC News,USD,0.0,32881,3.5,12+,News,37
160,160,182,"Grindr - Gay and same sex guys chat, meet and date",USD,0.0,23201,2.5,17+,Social Networking,37
161,161,183,Whole Foods Market,USD,0.0,17906,3.0,4+,Shopping,37
162,162,184,NAVIGON Europe,USD,74.99,927,3.5,4+,Navigation,37
163,163,185,Virtual Families,USD,1.99,18920,3.5,9+,Games,47
164,164,186,Sparkasse+,USD,0.99,30,3.0,4+,Finance,37
165,165,187,Sparkasse - Your mobile branch,USD,0.0,77,3.0,4+,Finance,37
166,166,188,Sleep Cycle alarm clock,USD,0.0,104539,4.5,4+,Health & Fitness,37
167,167,189,FACEinHOLE®,USD,0.99,4016,4.0,12+,Photo & Video,37
168,168,190,Harvest - Select the Best Produce,USD,1.99,299,4.0,4+,Food & Drink,38
169,169,191,WORMS,USD,1.99,5758,4.0,12+,Games,40
170,170,192,Pixel Starships™ : 8Bit MMORPG,USD,0.0,5565,4.5,9+,Games,37
171,171,193,Traffic Rush,USD,0.99,213092,3.5,9+,Games,37
172,172,194,MyRadar NOAA Weather Radar Forecast,USD,0.0,150158,4.5,4+,Weather,37
173,173,196,Resident Evil 4: PLATINUM,USD,4.99,6046,4.0,12+,Games,47
174,174,197,"Waze - GPS Navigation, Maps & Real-time Traffic",USD,0.0,345046,4.5,4+,Navigation,37
175,175,198,Cartoon Wars,USD,0.99,35930,3.5,12+,Games,43
176,176,199,Moto X Mayhem,USD,0.99,22557,4.0,4+,Games,47
177,177,200,Fantasy Football Manager - FFM for FPL,USD,0.99,292,3.0,17+,Sports,37
178,178,202,Spotify Music,USD,0.0,878563,4.5,12+,Music,37
179,179,203,McDo France,USD,0.0,22,3.5,4+,Food & Drink,37
180,180,204,PGA Championship 2016 – Baltusrol Golf Club,USD,0.0,10472,3.5,17+,Sports,37
181,181,206,BFMTV : l'info en continu,USD,0.0,115,4.0,17+,News,37
182,182,207,"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",USD,1.99,13915,4.5,4+,Weather,37
183,183,208,Spider:  The Secret of Bryce Manor,USD,1.99,6780,4.0,9+,Games,38
184,184,209,My Measures PRO,USD,7.99,1701,4.0,4+,Productivity,37
185,185,210,Food Additives Checker (E Numbers),USD,1.99,6,3.5,4+,Health & Fitness,37
186,186,212,SFR Mon Compte,USD,0.0,19,3.0,4+,Utilities,37
187,187,213,Baby Connect (Activity Log),USD,4.99,3483,4.5,4+,Medical,37
188,188,214,Epson iPrint,USD,0.0,2838,3.0,4+,Photo & Video,37
189,189,215,Mad Libs,USD,0.0,117889,3.0,4+,Entertainment,38
190,190,217,BATTLE BEARS: Zombies!,USD,0.99,50710,3.5,9+,Games,45
191,191,219,Hurricane Tracker,USD,2.99,3960,4.5,4+,Weather,37
192,192,220,NFL Sunday Ticket,USD,0.0,24258,3.0,4+,Entertainment,37
193,193,221,2016 US Open Tennis Championships,USD,0.0,37522,4.0,4+,Sports,37
194,194,222,Dropbox,USD,0.0,49578,3.5,4+,Productivity,37
195,195,223,Wa Kingyo - Goldfish Pond,USD,0.99,626,4.0,4+,Entertainment,38
196,196,224,Monkey Preschool Lunchbox,USD,1.99,9286,4.0,4+,Games,38
197,197,225,Yahoo Fantasy Sports,USD,0.0,190670,3.5,17+,Sports,37
198,198,226,Gaia GPS Classic,USD,19.99,2429,4.5,4+,Navigation,37
199,199,227,iLoan Calc (Loan calculator),USD,3.99,0,0.0,4+,Finance,37
200,200,228,Geocaching®,USD,0.0,12811,3.5,4+,Navigation,37
201,201,229,Camera+,USD,1.99,32338,4.0,4+,Photo & Video,37
202,202,230,Alter Ego,USD,4.99,262,4.0,12+,Games,40
203,203,231,Parking Mania,USD,0.99,9657,4.5,4+,Games,38
204,204,232,Sudoku⁺,USD,2.99,18332,4.5,4+,Games,37
205,205,234,Period Tracker Lite,USD,0.0,53620,4.0,12+,Health & Fitness,38
206,206,235,Camera Plus: For Macro Photos & Remote Photography,USD,0.99,38533,2.5,4+,Photo & Video,37
207,207,236,The perfect Egg timer,USD,0.99,40,3.5,4+,Food & Drink,37
208,208,237,Letter Quiz - alphabet tracing for kids,USD,1.99,472,4.0,4+,Games,37
209,209,238,Starbucks,USD,0.0,303856,4.5,4+,Food & Drink,37
210,210,239,央视影音-海量央视内容高清直播,USD,0.0,2070,2.5,4+,Sports,37
211,211,240,Bloons TD,USD,2.99,7941,4.0,4+,Games,47
212,212,241,Weight Watchers,USD,0.0,136833,3.5,12+,Health & Fitness,37
213,213,242,"CNN: Breaking US & World News, Live Video",USD,0.0,112886,3.5,12+,News,37
214,214,243,Gilt,USD,0.0,26353,3.5,4+,Shopping,37
215,215,245,TRUTH or DARE!!! - FREE,USD,0.0,171055,3.0,12+,Entertainment,38
216,216,246,Canabalt,USD,2.99,4540,4.0,9+,Games,43
217,217,247,Alipay - Makes Life Easy,USD,0.0,1926,3.0,4+,Lifestyle,38
218,218,248,Scanner911 Pro,USD,3.99,14345,4.0,12+,News,37
219,219,249,Daily Teachings,USD,4.99,1340,4.5,4+,Lifestyle,38
220,220,250,Scanner Pro - PDF document scanner app with OCR,USD,3.99,31912,4.5,4+,Business,37
221,221,251,Twitter,USD,0.0,354058,3.5,17+,News,37
222,222,252,"Trainline UK: Live Train Times, Tickets & Planner",USD,0.0,248,4.0,4+,Travel,37
223,223,253,CBS News - Watch Free Live Breaking News,USD,0.0,11691,3.5,12+,News,37
224,224,254,iOvilus,USD,1.99,381,3.0,12+,Entertainment,38
225,225,255,The Impossible Quiz!,USD,0.0,18884,4.0,9+,Entertainment,37
226,226,257,WolframAlpha,USD,2.99,7410,4.0,9+,Reference,37
227,227,258,Catan,USD,1.99,15175,4.0,4+,Games,38
228,228,259,ScanBizCards Business Card Reader,USD,0.99,3166,4.0,4+,Business,37
229,229,261,"Walgreens – Pharmacy, Photo, Coupons and Shopping",USD,0.0,88885,4.5,12+,Shopping,37
230,230,262,King of Dragon Pass,USD,9.99,882,5.0,12+,Games,43
231,231,263,Stylebook,USD,3.99,1729,4.0,17+,Lifestyle,37
232,232,264,NBA,USD,0.0,43682,3.5,4+,Sports,37
233,233,265,Blower,USD,0.99,861,2.0,4+,Entertainment,40
234,234,266,My Cycles Period and Ovulation Tracker,USD,0.0,7469,3.5,12+,Health & Fitness,37
235,235,267,"Kmart – Download Now, Shop Online & Pick Up Today!",USD,0.0,4186,3.5,4+,Shopping,37
236,236,268,优酷视频,USD,0.0,4885,3.5,12+,Entertainment,38
237,237,269,DOOM Classic,USD,4.99,3970,4.0,17+,Games,40
238,238,270,SoundCloud - Music & Audio,USD,0.0,135744,4.0,4+,Music,37
239,239,271,imo video calls and chat,USD,0.0,18841,4.0,4+,Social Networking,38
240,240,272,Plane Finder - Flight Tracker,USD,3.99,1438,4.0,4+,Navigation,37
241,241,274,"Runtastic Running, Jogging and Walking Tracker",USD,0.0,10298,4.5,4+,Health & Fitness,37
242,242,275,iFiles,USD,0.99,1842,3.5,4+,Productivity,38
243,243,276,TeachMe: Kindergarten,USD,1.99,2548,4.0,4+,Education,37
244,244,277,Moorhuhn Deluxe - Crazy Chicken,USD,0.99,319,3.0,12+,Games,38
245,245,278,Victoria’s Secret – The Sexiest Bras & Lingerie,USD,0.0,34507,3.5,12+,Shopping,37
246,246,279,MONOPOLY Game,USD,0.99,26482,3.5,4+,Games,37
247,247,281,n-tv Nachrichten,USD,0.0,273,3.0,12+,News,37
248,248,282,Shazam Encore,USD,2.99,8331,4.0,12+,Music,37
249,249,283,Harry Potter: Spells,USD,0.99,17023,4.0,4+,Games,40
250,250,284,First Words Deluxe,USD,4.99,1101,4.0,4+,Games,38
251,251,285,Clay Hunt,USD,0.99,1193,4.0,17+,Games,40
252,252,286,Dream Team - be your own fantasy football manager,USD,0.0,35,2.5,17+,Sports,37
253,253,287,Jet Car Stunts,USD,1.99,4088,4.0,4+,Games,47
254,254,288,Call of Duty: Zombies,USD,4.99,63943,4.0,17+,Games,47
255,255,289,"Walmart: Free 2-Day Shipping,* Easy Store Shopping",USD,0.0,70286,3.0,4+,Shopping,37
256,256,290,AirWatch Agent,USD,0.0,1150,2.5,4+,Business,37
257,257,291,Shop Savvy Barcode Scanner - Price Compare & Deals,USD,0.0,54630,2.5,4+,Shopping,37
258,258,292,Voice Changer Plus,USD,0.0,98777,3.0,4+,Entertainment,37
259,259,293,CatPaint,USD,0.99,649,4.0,4+,Photo & Video,37
260,260,294,Redbox,USD,0.0,60236,3.0,12+,Entertainment,37
261,261,295,クックパッド - No.1料理レシピ検索アプリ,USD,0.0,115,3.5,4+,Food & Drink,37
262,262,296,Trenches,USD,0.99,26732,4.0,17+,Games,43
263,263,297,The Christmas List,USD,1.99,2722,4.5,4+,Shopping,37
264,264,298,Macy's,USD,0.0,11013,3.5,4+,Shopping,37
265,265,299,Calorie Counter & Diet Tracker by MyFitnessPal,USD,0.0,507706,4.5,4+,Health & Fitness,37
266,266,300,BlaBlaCar - Trusted Carpooling,USD,0.0,397,4.5,4+,Travel,37
267,267,301,Refills Calendar - Scheduler - Note,USD,9.99,196,4.0,4+,Productivity,38
268,268,302,5-0 Radio Pro Police Scanner (Extra Feeds),USD,3.99,24553,4.0,9+,News,38
269,269,303,Hipstamatic,USD,2.99,12557,3.5,4+,Photo & Video,37
270,270,304,Sing Karaoke Songs Unlimited with StarMaker,USD,0.0,26227,4.0,9+,Music,37
271,271,305,TurboScan™ Pro - document & receipt scanner: scan multiple pages and photos to PDF,USD,4.99,28388,5.0,4+,Business,38
272,272,307,Positivity with Andrew Johnson,USD,2.99,282,4.0,4+,Health & Fitness,38
273,273,308,Rat On A Scooter XL,USD,0.99,19296,4.0,4+,Games,37
274,274,309,IMDb Movies & TV - Trailers and Showtimes,USD,0.0,183425,4.5,12+,Entertainment,37
275,275,310,Angry Birds,USD,0.0,824451,4.5,4+,Games,38
276,276,311,DB Navigator,USD,0.0,512,3.5,4+,Travel,38
277,277,312,Video Calls with Santa,USD,2.99,315,3.5,4+,Lifestyle,37
278,278,313,Voyages-sncf.com : book train and bus tickets,USD,0.0,268,3.5,4+,Travel,37
279,279,314,The Font Game,USD,1.99,438,4.5,4+,Games,45
280,280,316,ImmobilienScout24: Real Estate Search in Germany,USD,0.0,187,3.5,4+,Navigation,37
281,281,317,Grand Theft Auto: Chinatown Wars,USD,4.99,15142,4.0,17+,Games,38
282,282,318,Southwest Airlines,USD,0.0,30552,3.0,4+,Travel,37
283,283,319,The Sims 3 World Adventures,USD,2.99,9744,3.5,12+,Games,37
284,284,320,Star Chart,USD,0.0,13482,4.5,4+,Education,38
285,285,321,TaxCaster – Free tax refund calculator,USD,0.0,17516,3.5,4+,Finance,37
286,286,322,Glow Hockey 2 FREE,USD,0.0,186653,3.5,4+,Games,43
287,287,323,"Big Button Box - funny sounds, sound effects buttons, pro fx soundboard, fun games board, scary music, annoying fart noises, jokes, super cool dj effect, cat, dog & animal fx",USD,0.99,10031,4.0,4+,Entertainment,43
288,288,324,TV SPIELFILM - TV Programm mit Live TV,USD,0.0,81,3.0,4+,Entertainment,37
289,289,325,All-in-1 Logic GameBox,USD,0.99,9854,4.0,4+,Games,47
290,290,326,Roadside America,USD,2.99,1093,4.0,9+,Travel,38
291,291,327,Pocket Yoga,USD,2.99,4475,4.5,4+,Health & Fitness,37
292,292,328,Sonic the Hedgehog 2,USD,2.99,9405,4.0,4+,Games,37
293,293,330,Simply Being - Guided Meditation for Relaxation and Presence,USD,1.99,2417,4.5,4+,Health & Fitness,38
294,294,331,CamCard - Business card scanner & reader,USD,0.99,2923,4.5,4+,Business,37
295,295,332,This American Life,USD,2.99,8657,3.5,9+,Entertainment,38
296,296,333,Timetracks - Slit-Scan Camera,USD,0.99,70,2.0,4+,Photo & Video,37
297,297,335,franceinfo - l'actualité & les élections en direct,USD,0.0,162,4.0,17+,News,37
298,298,337,DOUBUTSU URANAI®-Animal Fortune-,USD,0.99,5,4.0,4+,Lifestyle,40
299,299,338,Doodle Army,USD,0.99,12354,4.0,12+,Games,47
300,300,339,Ameba,USD,0.0,269,3.0,12+,Social Networking,37
301,301,340,eBook: War and Peace,USD,3.99,0,0.0,9+,Book,37
302,302,341,Plants vs. Zombies,USD,0.99,426463,5.0,9+,Games,38
303,303,342,Weibo,USD,0.0,7265,3.5,17+,Social Networking,37
304,304,343,大众点评-发现品质生活,USD,0.0,844,4.0,17+,Lifestyle,37
305,305,344,AlloCiné : Cinéma et Séries,USD,0.0,101,4.0,12+,Entertainment,37
306,306,345,"Badoo - Meet New People, Chat, Socialize.",USD,0.0,34428,4.5,17+,Social Networking,37
307,307,346,Flick Kick Field Goal,USD,1.99,36946,4.5,4+,Games,38
308,308,347,Venmo,USD,0.0,21090,4.5,4+,Finance,37
309,309,348,"Dungeons & Such Treasures,Collectibles and Dragons",USD,2.99,653,4.5,12+,Games,37
310,310,349,"StarMap 3D+: Night Sky, Astronomy, Star View Guide",USD,3.99,1118,4.5,4+,Education,37
311,311,350,Shift Worker,USD,1.99,348,4.0,4+,Productivity,40
312,312,351,"Spy Calc - Hide pictures, videos, documents",USD,1.99,207,3.5,9+,Utilities,40
313,313,352,Waterlogged - Daily Hydration Tracker,USD,0.0,5000,4.5,12+,Health & Fitness,37
314,314,353,MyNetDiary PRO - Calorie Counter and Food Diary,USD,3.99,15188,4.5,12+,Health & Fitness,37
315,315,354,The Washington Post Classic,USD,0.0,18572,4.5,12+,News,37
316,316,355,F-Sim Space Shuttle,USD,4.99,6403,4.5,4+,Games,43
317,317,356,"Groupon - Deals, Coupons & Discount Shopping App",USD,0.0,417779,4.5,12+,Shopping,37
318,318,357,Learn to Speak Spanish Fast With MosaLingua,USD,4.99,9,5.0,12+,Education,38
319,319,358,"Coaster VR, Extreme Endless 3D Stereograph",USD,0.99,107,2.5,4+,Entertainment,37
320,320,359,Parents Calling Easter Bunny,USD,1.99,72,2.0,4+,Lifestyle,47
321,321,360,Sporcle,USD,2.99,2044,3.5,9+,Games,37
322,322,361,"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",USD,0.0,16683,3.5,4+,Sports,37
323,323,362,DOOM II RPG,USD,0.99,1455,3.0,12+,Games,47
